company_id,company_name,logo_path,origin_country
5,Columbia Pictures,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,US
305,British International Pictures,,GB
31030,Kurata Film Company,,
3245,First National Pictures,/9dBTQp9XitrHkx20i1r9HhZ3Q6B.png,US
174,Warner Bros. Pictures,/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png,US
49791,TRO,,
3419,Central Partnership,/byrxE2pJD9JLyBCIzyK0pYVanyG.png,RU
157119,Belarusfilm,/9Wf5DFTvzxo0pSqDp8MQWW3d01.png,BY
3263,OddLot Entertainment,/fvQzPr1XM8wq0qp8Rt7Z68rdhAZ.png,US
3935,Trust the Man LLC,,
5586,General Film Distributors,,
14377,J. Arthur Rank Organisation,,GB
1314,Hammer Film Productions,/gQBluDqe6dc2ZdzfJbabEHoSGoG.png,GB
6191,Falcon,,CZ
12445,Hilary,,
22814,Falcon International Productions,,US
216761,Frank Mancuso Jr. Productions,,US
21,Metro-Goldwyn-Mayer,/usUnaYV6hQnlVAXP6r4HwrlLFPG.png,US
89797,Bo Widerberg Film,,SE
78146,International Video 80,,IT
4753,Filmauro,/v596rkvfJX3K6Ypgd4KHkzOhQrs.png,IT
3620,Film Par Film,,FR
22178,M.D.G. Productions,,
356,TF1 Films Production,/9tW5wZEGotn1Ei5pErA88m47XiD.png,FR
8158,Films 7,,
8700,Paravision International S.A.,,
4,Paramount Pictures,/jay6WcMgagAklUt7i9Euwj1pzTF.png,US
477,Hughes Entertainment,/4wfCdggcE3ZG26uJpnAvyI0vEeL.png,US
13630,Darryl F. Zanuck Productions,,
25,20th Century Fox,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,US
7429,HBO Films,/6in9uMqxXEHx5XgYgkeRBpZ4rPw.png,US
2813,Forensic Films,,US
507,Atlas Entertainment,/aRmHe6GWxYMRCQljF75rn2B9Gv8.png,US
33,Universal Pictures,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,US
3086,Image Entertainment,/iksa7hXQMvPIzfSq0Tuo4WPU8gc.png,US
310,CNC,/4Gp5A4YdjPBfsHT47ngHMaXWmb9.png,FR
