movie_id,genre_id
42052,18
52968,35
16059,18
16059,35
16059,10749
78510,18
78510,10749
46525,12
46525,18
56067,18
56067,10751
38225,12
38225,35
38225,10751
48034,35
48034,18
43861,18
36701,10402
79836,10749
79836,35
79836,18
50066,18
50066,10749
61862,12
62029,35
81153,28
61779,80
61779,53
61779,10770
10416,35
10416,18
10416,10749
10416,878
74759,53
74759,18
57837,10770
57837,35
57837,99
40263,28
54662,18
54662,14
54662,10749
80076,18
11250,35
42369,18
42369,10770
75364,18
75364,14
83728,18
83728,36
67591,16
36906,16
43636,28
43636,14
43636,53
43636,12
43636,878
7290,35
7290,878
7290,28
42728,35
42728,10749
88909,28
5523,18
5523,53
5523,10770
62017,99
42789,35
7551,28
7551,53
7551,878
36875,18
36875,10749
9603,35
9603,10749
6480,18
6480,53
63707,36
63707,18
63707,10770
15980,27
15980,9648
44609,99
44609,10402
27853,27
27853,878
13828,28
13828,27
44426,53
4497,18
59571,18
59571,53
59571,36
21946,53
84915,53
94999,80
94999,18
27374,27
27374,53
6524,35
24478,10751
24478,35
13927,16
13927,10751
53815,27
4809,35
4809,18
28367,14
28367,10751
28367,10402
28367,35
35200,37
35200,12
58055,18
509,10749
509,35
31232,27
21348,14
21348,12
21348,16
21348,10751
9401,35
9401,80
9401,53
23654,35
23654,80
3305,99
3305,878
3305,27
20915,35
20915,10749
12613,16
12613,28
13276,28
13276,53
13276,27
4982,18
4982,80
36628,10749
36628,35
36628,27
54197,18
54197,10749
54197,80
54197,53
75930,28
75930,12
75930,14
75930,53
40406,10402
40406,99
73745,10402
39092,16
10877,28
10877,80
10877,53
62657,35
23245,10402
23245,18
23245,10749
60066,18
79144,18
92141,14
53410,35
91523,16
91523,35
42149,27
42149,53
40096,35
40096,18
40096,14
40096,10749
94515,18
94515,10749
94515,27
85533,99
69652,10749
53983,53
90985,28
90985,27
90985,53
18505,27
18505,35
67733,10751
1552,35
1552,18
75804,18
75804,10749
41647,99
67295,18
73075,35
53040,99
53040,36
69121,27
69121,878
64566,18
85651,18
85651,28
61880,28
61880,18
61880,10752
16622,16
29785,99
56085,28
56085,35
43033,28
43033,12
43033,14
60640,35
60640,99
42234,35
42234,18
42234,14
42234,10749
52855,18
52855,80
42990,35
46130,35
46130,18
44415,18
44415,10751
65627,99
10364,10752
10364,35
86455,99
64288,99
41806,35
41806,18
41806,10752
76716,18
53599,35
84619,10749
73580,35
73580,53
73580,9648
73580,10770
46523,28
46523,35
12661,35
12661,80
16875,35
69004,28
69542,35
69542,10749
69542,10770
78328,16
78328,10751
83731,99
83731,10402
22734,12
22734,18
57264,35
57264,53
44399,18
44399,10749
76926,80
76926,53
76926,10770
90283,18
28608,12
28608,10749
28608,35
14871,10402
14871,10749
14871,18
14871,35
25177,99
4948,18
40343,27
40343,53
56084,53
56084,18
56084,28
63797,12
63797,18
63797,10751
12633,18
12633,53
18647,37
18647,18
90580,36
90580,99
29998,53
29998,27
9527,35
64752,18
14624,10749
14624,18
14624,10751
64928,35
64928,80
64928,10402
64928,10749
66924,18
66924,80
5171,35
5171,18
99530,27
870,18
870,10749
71555,18
71555,53
49480,18
49480,10749
61639,35
51707,99
51707,80
58216,18
58395,10402
58395,99
69434,18
69434,28
14029,27
80249,28
80249,35
33221,12
33221,18
33221,10751
33221,14
33221,37
29233,16
29233,10751
90532,18
3563,35
3563,10749
35913,18
35913,28
35913,53
35913,80
46405,18
46405,27
46405,10749
28506,53
28506,878
52407,27
46768,18
57002,18
57002,10749
68682,18
68682,35
68682,10749
99521,18
99521,878
73885,35
19663,35
19663,18
19663,10749
78069,35
78069,10749
32115,35
54249,35
98255,80
98255,18
17725,35
32647,99
51615,28
51615,35
51615,9648
22426,28
22426,53
63907,28
63907,53
70569,99
75172,99
84091,16
84091,10751
70308,18
70308,35
70308,10749
62819,80
62819,18
34421,28
34421,18
