movie_id,keyword_id
42052,970
42052,178475
42052,187056
42052,198522
52968,9716
16059,6280
16059,2470
16059,15136
46525,801
46525,10685
46525,128
46525,5968
46525,9714
46525,10349
46525,9743
46525,10787
46525,12617
46525,158904
46525,189411
46525,275061
56067,6054
56067,6335
56067,15162
56067,158416
56067,208152
56067,233772
38225,1994
38225,5301
38225,1890
38225,3184
38225,1981
38225,3593
38225,5565
38225,18165
38225,182662
38225,208992
48034,970
48034,1422
48034,1655
48034,14886
48034,34145
48034,40842
48034,47018
48034,155939
48034,166120
48034,166121
48034,166124
48034,166125
48034,166126
48034,166129
48034,166132
48034,166139
43861,5149
43861,10909
43861,33457
43861,33519
43861,186189
43861,207240
43861,234192
43861,236227
43861,240236
43861,248288
43861,299588
43861,335769
43861,336744
43861,338153
43861,343373
36701,4307
36701,9926
36701,178959
50066,154855
50066,154856
50066,268006
61779,9826
61779,15167
61779,158927
61779,170212
10416,6935
10416,4862
10416,9951
10416,168550
10416,237186
10416,267160
74759,15106
74759,155451
57837,6029
57837,11192
54662,41216
54662,156597
11250,13027
11250,187056
42369,530
42369,5415
42369,194063
42369,263548
75364,160175
83728,697
83728,5933
83728,5565
83728,13028
83728,41599
83728,158718
83728,158965
83728,158967
83728,340395
67591,263548
43636,779
43636,780
43636,9715
43636,4728
7290,840
7290,402
7290,2051
7290,9951
7290,11931
7290,12185
7290,155751
7290,163589
7290,252104
42728,242
42728,295
88909,345
88909,14941
88909,14985
88909,17977
88909,156159
88909,156162
88909,170212
5523,380
5523,697
5523,5923
42789,5349
42789,1524
42789,966
42789,6075
42789,1668
7551,563
7551,1576
7551,1812
7551,1627
7551,2411
7551,4379
7551,3417
7551,13015
7551,14780
7551,186760
7551,223184
36875,155477
36875,190370
9603,1525
9603,6270
9603,818
9603,6664
9603,7208
9603,10683
9603,10132
9603,11933
9603,13027
9603,18005
9603,34130
9603,187056
9603,233617
9603,248025
9603,258533
9603,323909
9603,325782
6480,733
6480,4378
6480,5638
63707,5565
63707,9672
63707,11122
63707,34094
63707,159289
63707,160832
13828,818
4497,818
4497,745
4497,6150
4497,2251
4497,6464
4497,6563
4497,7140
4497,11004
4497,12999
4497,13014
4497,33720
4497,34124
4497,165470
4497,165492
4497,210107
4497,321464
59571,9672
59571,12346
59571,182058
59571,208289
59571,208630
59571,215036
59571,220362
21946,5340
21946,10714
94999,2426
94999,2492
94999,9833
94999,10053
94999,180085
94999,180825
94999,190370
27374,5657
27374,793
27374,6152
27374,11627
27374,3363
27374,34079
27374,162846
27374,163053
27374,163186
27374,207082
27374,210458
27374,214710
27374,276164
27374,283800
27374,302933
27374,308412
27374,329420
27374,370950
6524,8201
6524,9755
6524,10508
6524,10329
6524,11411
6524,12670
6524,165299
6524,177927
6524,184950
6524,220314
6524,266853
6524,322268
24478,8874
24478,15162
13927,1009
13927,263548
53815,190370
4809,10508
4809,33813
4809,195541
28367,4175
28367,361675
35200,818
35200,957
35200,10322
35200,9748
35200,11933
35200,155573
35200,173455
35200,179060
35200,188154
35200,348419
58055,5565
58055,187056
509,1605
509,212
509,817
509,1253
509,2562
509,2560
509,4434
509,9799
509,5732
509,10232
509,13072
509,155939
509,157380
509,160404
509,162262
509,180787
509,184793
509,191260
509,196958
509,220314
509,238006
509,274951
509,284274
509,295959
509,305033
509,313508
509,318336
509,331552
509,337333
31232,2598
31232,3901
31232,10541
31232,198181
31232,244967
21348,193749
21348,196964
21348,220940
21348,273251
21348,273252
21348,273257
21348,317819
21348,373272
9401,782
9401,931
9401,2708
9401,1419
9401,1562
9401,703
9401,2150
9401,9826
9401,11454
9401,11258
9401,12670
9401,14601
9401,41379
12613,779
12613,10076
12613,41645
12613,207826
12613,290713
13276,358003
13276,358004
4982,242
4982,2956
4982,3391
4982,3679
4982,3149
4982,2149
4982,2671
4982,2375
4982,2394
4982,2334
4982,3734
4982,6974
4982,8015
4982,10291
4982,11733
4982,11734
4982,13027
4982,15167
4982,18035
4982,18420
4982,159937
4982,163081
4982,179430
4982,193305
4982,208992
4982,293649
4982,312898
4982,314730
4982,321464
4982,325779
36628,11855
36628,4252
36628,5490
36628,9673
36628,15001
54197,2348
54197,8015
54197,9826
54197,11199
54197,11722
54197,14782
54197,161982
54197,163586
54197,239239
54197,258533
75930,168468
75930,238411
75930,239200
75930,270799
40406,5321
40406,2636
40406,159944
40406,175506
73745,6029
73745,11634
39092,263548
10877,417
10877,6149
10877,4918
10877,3692
23245,3071
60066,650
60066,5565
92141,380
92141,1886
92141,2426
92141,9706
92141,11531
92141,238355
53410,9253
53410,12999
53410,154802
53410,263548
42149,9826
42149,166862
42149,178259
42149,184924
42149,316790
40096,10181
94515,1930
94515,159551
94515,159595
94515,222334
85533,549
85533,534
85533,3434
85533,13059
85533,156053
18505,2522
18505,223059
1552,970
1552,1158
1552,10041
1552,10235
1552,15025
1552,213861
75804,236
75804,1463
75804,10181
75804,154802
75804,188014
75804,215678
75804,225688
75804,238631
75804,285017
41647,2652
41647,2903
41647,2936
67295,167043
64566,187056
85651,2394
85651,10683
85651,10726
85651,14964
85651,194451
61880,2106
61880,1480
61880,2531
61880,3366
61880,160377
61880,361716
16622,207928
16622,263548
16622,280923
29785,392
29785,1740
29785,6344
29785,281659
56085,703
56085,10123
43033,2857
43033,1938
43033,1964
43033,10468
43033,12554
43033,15162
43033,176062
43033,179780
43033,187305
43033,192913
43033,222448
43033,224020
42234,3392
42234,162846
44415,15162
10364,236
10364,2041
10364,818
10364,1755
10364,1956
10364,2532
10364,8201
10364,4595
10364,3603
10364,13065
10364,14638
10364,33564
10364,162365
10364,165431
10364,188765
10364,193744
10364,207883
10364,208189
10364,212912
10364,226190
10364,230333
10364,234492
10364,250074
10364,258200
10364,339237
10364,353914
10364,361592
64288,3664
64288,4459
64288,175322
64288,233717
64288,241317
64288,251349
64288,307690
64288,340321
64288,340322
76716,1339
76716,4995
76716,33476
76716,218099
84619,9835
84619,155691
84619,181046
84619,280268
84619,307280
84619,332084
46523,33457
46523,156052
12661,1009
12661,2587
12661,2411
12661,6876
12661,6163
12661,9750
12661,33705
16875,288660
69542,6075
69542,13005
22734,1196
22734,183225
22734,220975
44399,734
44399,7965
28608,216079
14871,520
14871,2796
14871,2334
14871,9840
14871,163210
14871,191731
14871,207008
14871,207999
14871,219923
14871,321432
14871,337472
14871,340731
14871,363236
14871,371838
14871,371839
25177,6075
40343,570
40343,793
40343,9748
40343,9826
40343,10726
40343,14903
40343,18087
40343,33780
40343,168192
40343,184352
40343,196759
40343,206850
40343,238057
40343,238752
40343,250227
56084,1160
56084,3037
56084,5265
56084,5598
56084,18035
56084,170865
56084,195908
56084,312168
83051,296608
93208,33998
12633,6145
12633,1157
12633,934
12633,2708
12633,2908
12633,3045
12633,10714
12633,12670
12633,33424
12633,188775
12633,190629
12633,266753
12633,321464
12633,325774
12633,325816
12633,325823
18647,1321
18647,502
18647,186831
18647,207928
90580,6075
29998,2795
29998,9807
29998,12999
29998,34145
29998,155750
29998,163186
29998,166869
29998,171987
29998,237370
29998,308202
29998,309479
29998,311710
29998,321721
29998,322008
29998,344754
29998,349079
9527,1781
74478,190370
74478,238355
14624,1158
14624,8097
14624,10329
14624,10163
14624,10911
14624,14768
14624,156479
14624,184238
14624,196960
14624,223019
14624,240315
14624,350271
64928,3149
64928,12390
66924,586
66924,818
66924,3458
66924,18453
66924,187056
66924,207268
5171,514
5171,380
5171,5827
5171,2628
5171,5864
5171,156195
5171,156479
5171,187056
5171,225219
5171,278696
5171,278697
5171,300502
5171,325832
870,1605
870,233
870,802
870,978
870,3490
870,1252
870,1501
870,1794
870,4341
870,9826
870,171366
870,207662
870,247733
51707,187056
58216,173186
14029,220
14029,10292
14029,15001
14029,274951
14029,312898
14029,325809
33221,14985
33221,180230
33221,299594
29233,15101
29233,155325
29233,159075
29233,318533
3563,1862
3563,242
3563,641
3563,1013
3563,4373
3563,9457
3563,15130
3563,163603
3563,192094
3563,194226
3563,215200
3563,249749
3563,258533
3563,262227
35913,582
35913,8440
35913,9807
35913,9880
35913,11034
37250,190370
37250,263548
52407,250461
46768,131
46768,3098
46768,9826
46768,208244
57002,187056
57002,344229
19663,6054
19663,33556
19663,192966
32115,11401
32115,12999
54249,154802
54249,186780
54249,187056
54249,197229
54249,325819
98255,5419
98255,197618
45637,6075
51615,14636
22426,8570
63907,6687
63907,41599
63907,156121
63907,158022
63907,249794
75172,5349
70308,701
70308,1900
8400,3737
8400,740
8400,409
8400,1647
8400,7404
8400,10508
8400,13014
8400,18035
8400,211269
16328,1741
16328,1706
16328,259
16328,2504
16328,1635
16328,1643
16328,11106
16328,4595
16328,10392
16328,10814
16328,161288
16328,165431
61796,4344
7980,570
7980,818
7980,6155
7980,697
7980,3352
7980,1228
7980,4232
7980,10714
7980,13092
7980,14576
7980,18425
7980,172291
7980,184988
7980,246466
82491,158713
16890,242
16890,953
16890,1879
16890,4504
16890,5524
16890,9856
16890,10452
16890,9957
16890,11953
16890,187056
16890,208998
16890,215015
16890,286239
16890,287439
16890,323211
76937,65
2234,2652
2234,6162
2234,6417
2234,6418
18009,9663
18009,10310
18009,12339
541,378
541,2231
541,1001
541,1416
541,383
541,1335
541,395
541,6255
541,2375
541,2695
541,2619
541,2367
541,2564
541,2694
541,2696
13124,779
13124,3436
54283,1462
54283,1908
54283,10157
54283,155198
15770,396
52631,9767
58938,2626
58938,155139
58938,161261
56974,10131
56974,187056
36760,534
36760,9807
36760,10476
54986,818
54986,232421
29078,6075
29078,1477
29078,9672
29078,13042
5624,2149
5624,7478
5624,10714
2687,160130
50835,9826
50835,12545
50835,14604
50835,14903
50835,41260
85104,154986
85104,230416
20544,6054
20544,1310
20544,5565
20544,5989
20544,9672
20544,11612
20544,14984
20544,155170
20544,157959
20544,162701
20544,195164
20544,208788
20544,214548
20544,244446
20544,244949
20544,302155
28345,394
28345,1930
28345,1307
28345,4412
28345,6389
28345,9673
28345,12545
28345,13014
28345,165458
28345,165468
28345,178982
28345,206051
28345,207317
28345,221762
28345,238043
28345,238343
28345,238344
28345,238346
28345,238365
77346,192406
57115,549
57115,10714
75733,818
75733,3966
75733,4344
75733,9725
75733,11687
75733,10466
75733,10982
75733,33552
75733,41406
75733,177129
75733,237867
75733,248988
99855,616
99855,3392
99855,10053
99855,40931
99855,196543
77826,11208
77826,33424
77826,269808
77826,301096
77826,325830
54301,187056
96243,2804
96243,6844
96243,10714
96243,12544
96243,15127
96243,180340
96243,210434
87300,1566
87300,818
87300,15199
87300,154802
87300,170362
51507,189435
51507,190025
51507,207149
82409,187056
48905,12999
48905,263548
77052,11162
87381,5265
87381,2106
87381,191424
75272,190370
13439,5657
13439,3419
13439,12425
13439,157906
13439,193760
13439,207876
13439,209619
13439,210434
13439,272521
13439,313033
87125,3133
87125,2340
87125,3098
87125,9826
87125,11249
87125,15032
25913,6513
25913,190098
25913,271856
5857,5600
5857,4426
5857,1930
5857,625
5857,4378
5857,3182
5857,3616
5857,3590
5857,7172
5857,6593
5857,3688
5857,10714
5857,13028
5857,15016
5857,157714
5857,207844
36465,392
36465,1956
36465,2569
36465,4101
36465,9672
36465,207883
36465,243503
49376,2006
10151,6054
10151,897
10151,898
10151,90
10151,213
10151,1222
10151,4562
10151,2150
10151,2251
10151,10594
10151,10776
10151,14632
10151,14964
10151,33625
64141,3344
64141,181532
20758,6038
20758,6167
64898,4344
4527,4368
4527,7163
4527,9826
81460,6054
81460,782
81460,1918
81460,9758
81460,9673
81460,10391
44151,6054
44151,717
44151,2868
44151,9673
44151,11001
44151,228166
31985,1618
31985,9715
31985,1852
31985,11058
31985,197602
27017,2504
27017,11159
27017,4344
27017,157768
27017,165643
27017,190427
27017,195593
27017,210184
27017,216986
26843,1008
26843,5272
26843,409
26843,836
26843,1956
26843,4109
26843,9672
26843,8077
26843,192772
26843,207876
26843,214548
26843,262858
26843,278700
26843,293245
26843,359724
26843,369326
70331,9917
70331,192790
70331,346773
69979,6054
69979,3434
69979,6579
69979,10791
69979,10873
