movie_id,title,original_title,overview,release_date,runtime,original_language,status,imdb_id,popularity,vote_average,vote_count,adult_flag,video_flag,poster_path,backdrop_path,homepage,tagline,budget,revenue,collection_id,collection_name
69695,Enemy Agents Meet Ellery Queen,Enemy Agents Meet Ellery Queen,Detective Ellery Queen aids Free Dutch agents battle Nazi spies over a prize of industrial diamonds.,1942-07-30,64,en,Released,tt0034703,0.6159,6.625,4,False,False,/pvBOJasFILGi2QGL6eoWo9pXNrj.jpg,/zO1GWK7ZtRocf5WPDLj6mLPhxN8.jpg,,It's a wave of thrills and chills for you!,0,0,395086,Ellery Queen Collection
36056,The Ring,The Ring,"Both Jack Sander and Bob Corby are boxers in love with Mabel. Jack and Mabel wed, but their marriage is flat. The young wife looks to Bob for comfort.",1927-09-28,116,en,Released,tt0018328,1.5413,5.904,109,False,False,/VeNRpyspVlJzkrNAyszdGtmy9e.jpg,/8nCWeu8mgd3Wa0TtkSUIla0x9cF.jpg,,Two boxers compete for the love of a woman.,0,0,,
41289,Bloodfight,Bloodfight,"Master martial artist Masahiro Kai is a shadow of the champion fighter and trainer he once was. After his protégé was slain in a no-holds-barred, underground fight by the incomparable Chang Lee, Kai slips into a numbing alcohol-induced stupor to try to forget the past.",1989-06-24,100,en,Released,tt0140859,1.6484,5.938,24,False,False,/4dvfxBT3OqIONZK6apAL7ERVC85.jpg,/xudfgCTwE2A8XRcvUi2wQwojbrN.jpg,,Beneath the fight. Beyond the fight. Become the warrior,0,0,,
25563,Marked Woman,Marked Woman,"In the underworld of Manhattan, a woman dares to stand up to one of the city's most powerful gangsters.",1937-04-10,96,en,Released,tt0029217,1.7962,6.553,76,False,False,/rJHNkbEnyjQUl8DXWxk127hNEhD.jpg,/mBL8qkSJKjAOdm3r14PtVV1Hf5L.jpg,,The star teaming you'll never forget!,0,0,,
50618,Fortress of War,Брестская крепость,"The film covers the heroic defence of the Brest Fortress, which was attacked during the first strike of German invaders on June 22 1941. The story describes the events of the first days of the defence, including the three main resistance zones, headed by the regiment commander, Pyotr Mikhailovich Gavrilov, the commissar Efim Moiseevich Fomin and the head of the 9th frontier outpost, Andrey Mitrofanovich Kizhevatov. Many years later veteran Alexander Akimov again recalls the memories of the time, when he, then a 15 year old Sasha Akimov was deeply in love with the beautiful Anya and suddenly found himself in the middle of the bloody events of war.",2010-11-04,138,ru,Released,tt1343703,2.4349,7.171,181,False,False,/iHXo74DonjdP8AoY2iChSEm9HjG.jpg,/6AXiXs5BOaGpYx1ctChTSNJxjJu.jpg,http://brestkrepost-film.ru,Surrender was not an option,8500000,4404729,,
18217,Buried Alive,Buried Alive,A college prank at an abandoned house accidentally awakens a frightening spirit.,2007-02-07,94,en,Released,tt0479199,1.3632,4.752,121,False,False,/nGjRzBdlSwUnv2zoxpChWyttIBo.jpg,/drk6V6q14u0ksBclhzJ35Q0s3kd.jpg,,Evil Won't Stay Buried Forever,0,1558939,,
14057,Trust the Man,Trust the Man,"Overachieving actress Rebecca must come to grips with her failing marriage to stay-at-home dad Tom. While Rebecca's slacker brother Tobey can't seem to commit to his aspiring-novelist girlfriend, Elaine. As both relationships spin out of control, the two couples embark on a quest to rediscover the magic and romance of falling in love in New York.",2005-09-01,103,en,Released,tt0427968,1.3584,5.166,125,False,False,/njvBxeC3mj5XKjT9a2OdDglq9Yj.jpg,/A4f5bTLP0qkhgfS3ry1fPFHKsl4.jpg,,Men play the game. Women know the score.,9000000,0,,
89777,"Piet Kluit, een man met ballen.","Piet Kluit, een man met ballen.",,2009-02-16,50,nl,Released,tt1370827,0.0143,,,False,False,/lae45rxoSUXrTnirNLwkhXPe827.jpg,/eaqpYnAAtbWlmJmMrCdbpHSUzj9.jpg,,,0,0,,
91906,World of Skinhead,World of Skinhead,"Straight out of This is England! Or was it the other other way round? Never mind, now a classic, World of Skinhead seeks out the roots of skinhead culture - from Detroit to Bergen, from Glasgow to Berlin, honouring its true spirit.",1995-03-09,52,en,Released,,0.0741,,,False,False,,,,,0,0,,
68201,The Mikado,The Mikado,"In a small Japanese town, Ko-Ko is appointed to the unenviable position of executioner. Knowing he must successfully perform before the appearance of the Mikado in a month's time, Ko-Ko finds a suitable victim in Nanki-Poo, who is distraught over his unrequited love for the maiden Yum-Yum. Nanki-Poo agrees to sacrifice his life if he is allowed to spend his remaining days with Yum-Yum, who is betrothed to Ko-Ko.",1939-05-01,91,en,Released,tt0031650,0.7501,6.855,31,False,False,/8cMjvpBjKJZ2xTKLlvOGhszOeuH.jpg,/abLgXm9M6tO3gLntYYzY2ovNuiI.jpg,,,165000,0,,
79177,Suze Orman: The Courage to Be Rich,Suze Orman: The Courage to Be Rich,"Suze Orman, author of the bestselling book and DVD 9 Steps to Financial Freedom, delivers another seminar to us, this time on The Courage to Be Rich. The premise of this lecture is ""how to create changes in our life so that we can take charge of our financial future."" Orman loosely divides the program into three sections: the first explores how our thoughts create our destiny; the second examines our relationship with our self, our money, and those we love and their money; and the final explores the myths and realities of Roth IRAs, commissions on mutual funds, and why you may not be getting the raise you deserve. Using personal anecdotes and exercises, Orman drives her points home. Her opinions are definite--make sure you have a prenuptial agreement, own your home, invest in a Roth IRA--but she is clear and effective in explaining the reasoning behind these absolutes. Her manner is both inviting--those new to the financial world will not be in the least intimidated--and knowledgeable.",,75,en,Released,tt0255626,0.1939,8.75,2,False,False,,,,,0,0,,
95467,The Full Treatment,The Full Treatment,"Race car driver Alan Colby and his new wife Denise are involved in a car crash where he sustains a serious head injury, causing him to have murderous feelings toward Denise. After Denise persuades him to honeymoon with her on the Cote D'Azur in France, they enlist the aid of a French psychiatrist who offers to regress Alan back to the time of the accident and cure him.",1960-10-01,108,en,Released,tt0054901,0.8503,6.182,22,False,False,/5C8cZ5uOynaQEKej8tteXN5lJ3g.jpg,/wlaDHhbcnH6meuDaUPWPwS1SyDl.jpg,,A diabolical new technique in suspense!,0,0,,
