person_id,name,original_name,gender,known_for_department,profile_path,popularity
87697,William Gargan,William Gargan,2,Acting,/2BdHWfQbf5YGIg2qs6TCdRcu7lJ.jpg,0.35
20365,Margaret Lindsay,Margaret Lindsay,1,Acting,/70geXvjmQKZIqQdbaZ0eKKTWCym.jpg,0.6217
8517,Charley Grapewin,Charley Grapewin,2,Acting,/xROPwMkTUgweYQFhbTsvklIMhlw.jpg,0.4383
25173,Gale Sondergaard,Gale Sondergaard,1,Acting,/qIM4YO2sWBzdGOCAZctZjPcUK2c.jpg,0.4112
29273,Gilbert Roland,Gilbert Roland,2,Acting,/mzFPFiCb7fNsGI9gBFHYn0kqg7g.jpg,0.8446
2497,Sig Ruman,Sig Ruman,2,Acting,/r2iCgnjgF4dEyeRBWrqGL8qOQpd.jpg,0.5979
14453,James Burke,James Burke,2,Acting,/6xXAL2XkRoowVkxtreZjFs5tjLY.jpg,0.3375
117691,James P. Hogan,James P. Hogan,2,Directing,/b87c2Qh3Wd1xvI0A7TfTdx8VfAQ.jpg,0.6051
121104,Manfred Lee,Manfred Lee,2,Writing,,0.2823
121103,Frederic Dannay,Frederic Dannay,2,Writing,,0.2618
30128,Eric Taylor,Eric Taylor,2,Writing,,0.2654
935847,Arthur Strawn,Arthur Strawn,0,Writing,,0.0847
115155,Carl Brisson,Carl Brisson,2,Acting,/2eKHQyhmmdz5RqAry09SAZR0Bs2.jpg,0.2751
114807,Lillian Hall-Davis,Lillian Hall-Davis,1,Acting,,0.4234
8731,Ian Hunter,Ian Hunter,2,Acting,/yiSGJGTyww5YQwi9PYS96nefkOw.jpg,0.5827
3371,Forrester Harvey,Forrester Harvey,2,Acting,/vzYmee31j2aozcodvLf4BzViRUh.jpg,0.4729
553228,Harry Terry,Harry Terry,2,Acting,/jkE6noosv64CnSR9xViBUw6mBcR.jpg,0.2612
114808,Gordon Harker,Gordon Harker,2,Acting,/6nUqJHYQxHOGGaZ2She2S6miS59.jpg,0.2497
37870,Clare Greet,Clare Greet,1,Acting,/bvYgtQviEc64Ce3IErYNivOkzr2.jpg,0.0885
5731,Tom Helmore,Tom Helmore,2,Acting,/aEKwGuDjktdF13YBrEAQjC7Te2m.jpg,0.3222
2636,Alfred Hitchcock,Alfred Hitchcock,2,Directing,/108fiNM6poRieMg7RIqLJRxdAwG.jpg,3.1848
7388,C. Wilfred Arnold,C. Wilfred Arnold,2,Art,,0.0214
7385,John Maxwell,John Maxwell,2,Production,,0.0588
7386,Jack E. Cox,Jack E. Cox,2,Camera,,0.217
1585030,Frank Mills,Frank Mills,2,Directing,,0.0766
3681,Alma Reville,Alma Reville,1,Writing,/OymC0wspclYbyiL2lagCO6T7pW.jpg,0.2201
108815,W. Percy Day,W. Percy Day,0,Visual Effects,,0.2541
26756,Yasuaki Kurata,倉田保昭,2,Acting,/ma6hViQ2q2xce4t1Wp7HYm2GRR4.jpg,1.8399
20519,Simon Yam,任達華,2,Acting,/eilxjMhfobctnzZ0kBcFmnqtFyd.jpg,3.2955
240161,Meg Lam Kin-Ming,林建明,1,Acting,/gHevGZ8fGmuCcjoF7Ri6RsVrCio.jpg,1.1009
64234,Anzu Lawson,Anzu Lawson,1,Acting,/rSyplwF8XF49CtkkgNfzV7rmMbB.jpg,0.3679
58123,Bolo Yeung,楊斯,2,Acting,/nLB34sDxed0Gbf646q9iaziaIk.jpg,2.2818
126045,Shinya Ono,小野進也,2,Acting,/fimAU9LK5jiDvWgmKDKI0RlLEQi.jpg,0.4648
126037,John Ladalski,John Ladalski,2,Acting,/ln5e5D33K5J93KlSDv6cvuPy5Yr.jpg,0.6227
147796,Stuart Smith,Stuart Smith,2,Acting,/cWpbvCS9fpF9BDMIj8P5ZBZC0Ak.jpg,0.1006
126047,Ken Boyle,Ken Boyle,2,Acting,/eB6hM4x2hHX4TuwCtBcX0v9wsVu.jpg,0.4479
126048,Takaaki Nakamura,Takaaki Nakamura,0,Acting,,
126050,Sindy Lim,Sindy Lim,0,Acting,,0.0071
126044,Cristina Lawson,Cristina Lawson,0,Acting,,
1178818,Gam Biu,金彪,2,Acting,/R19GFiYnN3OIuJEA6kHkcCf5M2.jpg,1.4205
126052,Masanari Nasu,Masanari Nasu,0,Acting,,0.0071
126053,Tadashi Sato,佐藤忠志,0,Acting,,0.2419
126054,Masaru Yamashita,山下優,2,Acting,/p22TyFNTMd9YpcBhTeziZxjQb8V.jpg,0.3881
126055,Kazuhiko Shimizu,清水一彦,2,Directing,,0.0995
126056,Strong Kongo,ストロング小林,2,Acting,,0.4794
126040,Raja Lion,Raja Lion,0,Acting,,0.0071
126057,Kazumi Kotani,Kazumi Kotani,0,Acting,,0.084
126058,Sho Tagaya,Sho Tagaya,0,Acting,,0.05
126059,Katsuyuki Imamura,Katsuyuki Imamura,0,Acting,,0.0214
126060,Tatsuro Koike,小池達朗,0,Crew,,0.2325
126061,Moriaki Sakai,Moriaki Sakai,0,Acting,,0.0143
126062,Ron Naguvu,Ron Naguvu,0,Acting,,0.0143
126063,Chalee Lao Chaofa,Chalee Lao Chaofa,0,Acting,,
126064,Tamotsu Kurata,Tamotsu Kurata,0,Acting,,
126065,Kazuaki Shimazaki,Kazuaki Shimazaki,0,Acting,,0.0071
126066,Marie Noemi,Marie Noemi,0,Acting,,0.0071
126067,Toshio Kumada,Toshio Kumada,0,Acting,,0.0071
126068,Hiroe Yonezawa,Hiroe Yonezawa,0,Acting,,0.0214
126070,Eleonore Bjerlemo,Eleonore Bjerlemo,0,Acting,,0.0379
126071,Tomoko Otani,Tomoko Otani,0,Acting,,
126073,Kentetsu Kawamoto,Kentetsu Kawamoto,0,Acting,,0.0071
126074,Michiko Kakimoto,Michiko Kakimoto,0,Acting,,
126076,Asami Miura,Asami Miura,0,Acting,,0.0609
126077,Tetsushi Kajiura,Tetsushi Kajiura,0,Acting,,
126078,Nobuhisa Uehara,Nobuhisa Uehara,0,Acting,,0.0214
126079,Kouichi Chiba,Kouichi Chiba,0,Sound,,0.0486
126080,Misako Nagashima,Misako Nagashima,0,Acting,,0.0617
72511,Mutsuo Naganuma,長沼六男,2,Camera,,0.2687
126049,Chan Fei-Lung,陳飛龍,2,Acting,,0.3968
126033,Shuji Goto,Shuji Goto,2,Directing,,0.1841
