account_id,movie_id,rating_value,created_at
1,56067,7.0,2020-08-06T16:44:48.725Z
3,43861,6.0,2025-07-18T17:35:38.767Z
4,83728,7.0,2015-01-02T09:49:11.631Z
5,42728,7.0,2022-05-24T19:44:59.362Z
5,7551,7.0,2019-05-06T18:14:31.039Z
7,7551,7.0,2020-12-26T06:44:32.552Z
8,7551,8.0,2024-12-17T16:26:36.393Z
9,9603,9.0,2023-05-29 20:49:03 UTC
10,9603,7.0,2023-06-18 07:17:23 UTC
3,9603,7.0,2025-02-21 16:29:11 UTC
12,9603,10.0,2025-09-29 07:29:17 UTC
3,4497,7.0,2024-01-28T07:09:37.213Z
14,27374,4.0,2018-03-06T17:50:27.584Z
5,27374,4.0,2021-11-06T19:39:02.465Z
3,13927,7.0,2026-01-07 17:07:12 UTC
3,4809,6.0,2023-11-14T05:55:41.484Z
18,509,6.0,2022-09-14T19:11:18.453Z
5,31232,5.0,2019-02-17T01:36:08.686Z
3,21348,7.0,2023-08-28 04:58:29 UTC
21,9401,7.0,2019-01-29 03:32:01 UTC
7,9401,6.0,2024-01-23 13:12:09 UTC
23,4982,6.0,2015-07-14T22:32:25.312Z
1,4982,9.0,2020-08-16T00:48:58.024Z
3,4982,7.0,2022-09-08T13:44:57.000Z
10,4982,6.0,2023-04-16T16:46:11.520Z
27,40096,8.0,2023-08-15T15:17:25.233Z
28,1552,9.0,2020-08-24T21:50:29.616Z
29,1552,8.0,2024-12-20T01:14:13.165Z
3,29785,7.0,2024-05-02T13:41:58.950Z
27,42234,8.0,2023-03-13T16:52:36.037Z
3,10364,7.0,2023-06-19T08:32:12.305Z
33,12661,10.0,2023-01-12T03:10:03.700Z
3,44399,6.0,2023-11-22T16:37:02.444Z
35,18647,5.0,2017-07-01 12:14:56 UTC
5,18647,9.0,2021-07-29 07:02:09 UTC
3,18647,6.0,2025-01-26 07:43:17 UTC
35,29998,7.5,2013-11-02T03:48:24.958Z
39,14029,8.0,2016-07-21T21:45:33.471Z
40,14029,5.0,2019-09-03T06:12:50.584Z
35,14029,7.0,2019-10-25T01:30:06.986Z
42,14029,10.0,2024-10-29T10:57:11.586Z
10,3563,6.0,2023-07-05T01:49:10.044Z
44,3563,6.0,2026-03-12T17:46:51.902Z
35,32115,7.0,2015-06-26T10:10:11.936Z
46,7980,8.0,2017-12-22T16:34:48.289Z
3,76937,6.0,2023-02-14 07:04:01 UTC
40,18009,5.0,2020-05-19T10:00:54.240Z
3,541,7.0,2022-11-14T09:54:19.227Z
1,541,8.0,2024-05-29T00:03:30.305Z
3,53772,6.0,2022-02-16 14:03:04 UTC
3,28345,7.0,2022-09-04 10:39:06 UTC
33,27844,10.0,2023-01-10 02:13:15 UTC
3,96243,6.0,2022-04-04 16:29:14 UTC
57,96243,8.0,2025-05-21 03:18:36 UTC
3,87381,5.0,2022-04-04T14:32:23.766Z
5,5857,7.0,2026-02-17T02:14:02.388Z
5,26843,5.0,2019-05-25T19:58:45.576Z
3,26843,7.0,2023-06-07T13:58:29.662Z
3,93456,7.0,2025-12-28T12:10:39.685Z
3,46852,7.0,2025-01-30T05:03:21.900Z
23,100,3.0,2014-04-24T00:11:47.766Z
69,100,9.0,2017-01-09T12:24:47.234Z
1,100,8.0,2022-03-16T01:38:40.389Z
3,81310,7.0,2025-12-19T16:21:58.204Z
23,49529,3.0,2014-02-13 11:04:50 UTC
73,49529,8.0,2017-11-19 05:47:17 UTC
74,49529,6.0,2018-01-21 21:52:05 UTC
1,49529,7.0,2020-11-12 04:32:57 UTC
33,49529,1.0,2023-01-14 01:07:27 UTC
5,49529,7.0,2025-03-12 18:14:20 UTC
39,39946,10.0,2016-03-14T01:21:32.167Z
3,39946,7.0,2024-02-05T11:06:28.506Z
3,24973,6.0,2022-11-21 17:09:51 UTC
39,39538,9.0,2016-05-02T18:41:04.142Z
83,39538,5.0,2017-06-10T01:07:09.051Z
84,39538,7.0,2026-01-01T23:05:19.787Z
3,81342,7.0,2024-04-06 13:42:07 UTC
23,12900,7.0,2015-06-06 17:18:58 UTC
27,12900,8.0,2022-07-22 02:32:06 UTC
35,34943,7.5,2013-11-02T03:58:00.197Z
89,34943,3.0,2022-08-28T02:48:27.750Z
3,34943,7.0,2023-04-17T08:04:52.939Z
3,56664,6.0,2024-02-17T17:12:05.372Z
5,68089,4.0,2019-08-25T19:53:50.400Z
35,13528,9.0,2019-06-09 19:28:03 UTC
40,12576,5.0,2019-01-20T05:53:13.855Z
95,12576,6.0,2026-04-25T17:02:15.639Z
3,85231,6.0,2023-11-30T11:40:45.844Z
89,15720,4.0,2022-08-28T06:15:54.265Z
3,32430,7.0,2022-07-01T20:05:33.511Z
5,2675,7.0,2020-04-01 05:36:48 UTC
100,2675,7.0,2021-06-24 00:19:30 UTC
3,2675,6.0,2022-07-08 06:52:53 UTC
102,2675,9.0,2024-11-24 08:02:36 UTC
8,2675,7.0,2024-12-14 16:59:01 UTC
104,2675,4.0,2025-07-22 02:47:23 UTC
105,2675,3.0,2025-12-08 04:56:36 UTC
35,46681,8.0,2015-04-07T21:52:10.124Z
35,506,9.0,2020-08-30T13:54:44.056Z
108,12268,10.0,2017-02-14T18:49:06.855Z
3,12268,7.0,2024-04-22T11:17:14.312Z
110,13428,7.0,2023-03-19 20:16:24 UTC
111,13428,10.0,2025-03-31 12:35:51 UTC
29,86962,5.0,2025-07-18 00:18:14 UTC
35,17917,8.0,2019-09-13T07:06:56.669Z
3,17917,8.0,2023-06-03T16:36:59.005Z
33,16846,10.0,2023-01-12 00:09:34 UTC
35,31591,8.0,2018-08-05 13:12:53 UTC
117,11327,10.0,2018-04-12T18:24:00.835Z
3,11327,6.0,2025-06-21T18:09:18.752Z
5,9799,7.0,2019-05-08T18:08:25.852Z
120,9799,10.0,2019-07-17T13:15:47.709Z
18,9799,7.0,2022-08-20T00:35:42.099Z
3,9799,6.0,2023-09-02T07:35:19.593Z
33,9799,5.0,2024-01-21T20:06:53.668Z
5,26676,5.0,2022-12-18T20:21:26.678Z
5,39341,8.0,2018-11-06T20:47:45.123Z
3,32513,7.0,2024-05-02T09:46:32.926Z
23,32823,3.0,2013-01-24T07:33:34.045Z
10,32823,6.0,2023-05-18T15:06:26.828Z
3,21867,7.0,2024-11-17 09:05:03 UTC
33,11342,10.0,2023-01-12T02:42:15.358Z
5,11342,7.0,2024-02-21T18:49:36.389Z
35,1586,6.0,2015-03-20T22:56:22.622Z
133,1586,6.0,2016-12-14T19:54:25.247Z
134,1586,7.0,2020-10-04T18:03:17.344Z
5,1586,6.0,2023-09-23T20:50:18.195Z
3,11224,7.0,2022-12-27T13:32:29.095Z
10,11224,5.0,2023-05-08T13:00:03.149Z
3,25050,7.0,2022-12-25T14:15:35.402Z
117,13635,8.0,2018-04-26T09:15:22.231Z
33,32047,10.0,2023-01-10T22:55:38.555Z
35,78550,8.0,2014-05-17T07:30:32.330Z
3,4541,6.0,2024-12-02T10:37:53.938Z
35,19463,7.0,2014-09-06 19:11:06 UTC
3,19463,7.0,2022-06-30 20:49:30 UTC
3,4286,6.0,2023-06-03 18:21:43 UTC
35,27172,7.0,2019-01-13T09:40:24.240Z
23,29917,4.5,2012-10-29T08:50:00.000Z
149,29917,7.0,2020-06-09T18:12:58.581Z
150,29917,7.0,2021-05-14T16:17:28.566Z
7,50687,3.0,2021-11-20T07:42:37.805Z
5,43008,7.0,2024-10-10T19:31:15.819Z
33,52741,10.0,2023-01-12T01:39:52.041Z
5,29697,6.0,2018-03-20T17:17:58.498Z
3,98404,6.0,2022-04-04T16:05:56.401Z
35,22164,7.0,2016-02-07 21:17:37 UTC
89,22164,1.0,2022-09-12 22:26:11 UTC
3,49301,6.0,2025-11-16T07:35:04.223Z
160,18704,9.0,2020-12-15T02:13:20.539Z
161,26525,8.0,2025-06-15T01:46:18.955Z
5,32643,7.0,2020-07-13T18:44:02.030Z
3,35115,6.0,2022-11-14T11:36:35.707Z
1,92682,5.0,2020-07-02T15:59:07.636Z
134,92682,6.0,2020-07-10T20:23:27.437Z
167,44497,3.0,2018-06-20T19:58:37.081Z
3,50839,7.0,2022-07-13 08:35:13 UTC
3,1994,6.0,2022-06-13T16:42:55.445Z
170,80299,5.0,2022-02-23 02:08:03 UTC
44,16866,6.0,2025-12-30T18:27:39.516Z
40,9792,8.0,2018-10-26T04:56:56.300Z
3,9792,6.0,2022-04-21T03:47:30.201Z
35,43197,8.0,2019-08-07T19:00:21.144Z
176,47634,8.0,2022-01-16T18:56:38.642Z
89,8665,6.0,2022-08-27T02:28:53.958Z
3,8665,6.0,2023-09-03T06:28:56.283Z
